2018-01-15 10:48:08.743 INFO  Starting Forge Server.
2018-01-15 10:48:08.905 INFO  Forge Server starting up using database connection URL: 
2018-01-15 10:48:08.906 INFO  Forge Server starting up using database host: 127.0.0.1
2018-01-15 10:48:08.906 INFO  Forge Server starting up using database name: foglight
2018-01-15 10:48:08.906 INFO  Forge Server starting up using database user: foglight
2018-01-15 10:48:08.906 INFO  Forge Server starting up using database password: XXXXXXXXXXXX
2018-01-15 10:48:08.906 INFO  Forge Server starting up using database type: postgresql
2018-01-15 10:48:08.906 INFO  Forge Server starting up using database port: 15432
2018-01-15 10:48:08.906 INFO  Forge Server starting up using embedded database administrator password: XXXXXXXXXXXX
2018-01-15 10:48:08.906 INFO  Forge Server starting up using embedded database socket: /tmp/fms-511-2284833707855038600.sock
2018-01-15 10:48:08.906 INFO  Forge Server starting up using hibernate dialect: com.quest.nitro.hibernate.PostgreSQLDialect
2018-01-15 10:48:08.906 INFO  Forge Server starting up using cluster mcast port: 45566
2018-01-15 10:48:08.906 INFO  Cluster bind port not configured, will use default: 0.
2018-01-15 10:48:08.906 INFO  Forge Server starting up using Tomcat HTTP port: 8080
2018-01-15 10:48:08.906 INFO  Forge Server starting up using Tomcat HTTPS port: 8443
2018-01-15 10:48:08.906 INFO  Forge Server starting up using federation communication port: 1099
2018-01-15 10:48:08.907 INFO  The server automatically chose 0.0.0.0 as the listen address for incoming connections. Use the server.bind.address property in server.config to override.
2018-01-15 10:48:08.908 INFO  The server automatically chose zhuvm-fog-2682 as the address to be used in remote references to itself. Use the server.remote.address property in server.config to override.
2018-01-15 10:48:08.908 INFO  The server will listen for incoming connections on 0.0.0.0 and use zhuvm-fog-2682 for remote references to itself.
2018-01-15 10:48:08.909 INFO  Forge Server startup in standalone mode.
2018-01-15 10:48:08.912 INFO  Catalina naming disabled
2018-01-15 10:48:09.318 INFO  Initializing ProtocolHandler ["http-bio-auto-1"]
2018-01-15 10:48:09.325 INFO  Initializing ProtocolHandler ["http-bio-auto-2"]
2018-01-15 10:48:09.326 INFO  Initialization processed in 414 ms
2018-01-15 10:48:09.521 INFO  Set JAAS app name Catalina
2018-01-15 10:48:09.522 INFO  Starting service Forge
2018-01-15 10:48:09.522 INFO  Starting Servlet Engine: Apache Tomcat/7.0.82
2018-01-15 10:48:09.543 INFO  Deploying web application directory /home/admin/Quest/Foglight/state/tomcat/webapps/config
2018-01-15 10:48:09.628 INFO  No global web.xml found
2018-01-15 10:48:13.005 INFO  TLD skipped. URI: http://www.springframework.org/tags is already defined
2018-01-15 10:48:13.006 INFO  TLD skipped. URI: http://www.springframework.org/tags/form is already defined
2018-01-15 10:48:13.038 INFO  TLD skipped. URI: http://www.springframework.org/tags is already defined
2018-01-15 10:48:13.039 INFO  TLD skipped. URI: http://www.springframework.org/tags/form is already defined
